time,loss,learning_rate,step,accuracy
11.543480634689331,3.5979595,0.001,1,0.06
22.3642795085907,3.1691415,0.001,2,0.08
34.06476354598999,3.077618,0.001,3,0.1
44.950042963027954,2.9053288,0.001,4,0.07
53.08219909667969,2.8317866,0.001,5,0.06
64.16026306152344,2.706581,0.001,6,0.07
75.1567587852478,2.6613789,0.001,7,0.09
85.86979746818542,2.628635,0.001,8,0.1
96.82693386077881,2.606059,0.001,9,0.1
107.87116050720215,2.6043148,0.001,10,0.11
120.25059747695923,2.4982743,0.001,11,0.12
129.32909488677979,2.4968839,0.001,12,0.11
137.42992281913757,2.4283319,0.001,13,0.11
148.25934171676636,2.5045164,0.001,14,0.1
156.24991369247437,2.4906683,0.001,15,0.09
168.10572338104248,2.4756656,0.001,16,0.1
179.31572270393372,2.382096,0.001,17,0.09
187.5650990009308,2.4030554,0.001,18,0.11
198.78186631202698,2.3842683,0.001,19,0.1
207.04522681236267,2.342269,0.001,20,0.11
218.9602153301239,2.3814576,0.001,21,0.11
229.47535228729248,2.3296192,0.001,22,0.11
239.9858205318451,2.3348167,0.001,23,0.12
248.32097506523132,2.3344526,0.001,24,0.15
259.65503430366516,2.3408833,0.001,25,0.18
267.9294443130493,2.3324149,0.001,26,0.16
278.64165902137756,2.3211749,0.001,27,0.17
289.5442900657654,2.3440533,0.001,28,0.18
300.4285321235657,2.3339612,0.001,29,0.15
308.32365703582764,2.3310068,0.001,30,0.2
319.37747955322266,2.3152,0.001,31,0.2
330.03709506988525,2.3011398,0.001,32,0.19
341.1923530101776,2.2855215,0.001,33,0.18
349.22813510894775,2.310174,0.001,34,0.21
360.5218708515167,2.2691557,0.001,35,0.19
371.31329464912415,2.311872,0.001,36,0.2
381.93841004371643,2.2733474,0.001,37,0.17
393.1203372478485,2.2880456,0.001,38,0.16
403.912136554718,2.3150666,0.001,39,0.14
415.1040229797363,2.2786598,0.001,40,0.13
423.1104805469513,2.3057802,0.001,41,0.14
446.8646216392517,2.2732358,0.001,42,0.2
454.7393591403961,2.2904081,0.001,43,0.17
466.3296420574188,2.286332,0.001,44,0.13
478.2620916366577,2.3045192,0.001,45,0.12
489.5024883747101,2.275455,0.001,46,0.1
500.38524055480957,2.279963,0.001,47,0.12
511.32419300079346,2.2873237,0.001,48,0.16
521.9754824638367,2.2614424,0.001,49,0.15
532.5235035419464,2.2824042,0.001,50,0.17
540.8785111904144,2.2726882,0.001,51,0.19
552.1598834991455,2.2483118,0.001,52,0.19
562.7006001472473,2.279324,0.001,53,0.19
573.5176277160645,2.2346153,0.001,54,0.08
582.4802560806274,2.2755003,0.001,55,0.13
590.6629800796509,2.2288163,0.001,56,0.12
600.2839951515198,2.2393026,0.001,57,0.16
610.705867767334,2.288031,0.001,58,0.11
618.801450252533,2.272457,0.001,59,0.16
629.5394394397736,2.2508585,0.001,60,0.16
641.6577377319336,2.258782,0.001,61,0.12
652.6018161773682,2.2123933,0.001,62,0.17
661.1612930297852,2.270761,0.001,63,0.21
672.3613805770874,2.2432897,0.001,64,0.16
683.0140373706818,2.244005,0.001,65,0.26
691.2726593017578,2.2941685,0.001,66,0.13
699.3846008777618,2.2735422,0.001,67,0.26
710.1966741085052,2.2737546,0.001,68,0.19
721.5184464454651,2.3098183,0.001,69,0.11
729.381844997406,2.260415,0.001,70,0.13
741.1490254402161,2.2640758,0.001,71,0.17
750.1510474681854,2.314951,0.001,72,0.18
761.1709721088409,2.2872093,0.001,73,0.16
772.8218972682953,2.2930577,0.001,74,0.2
780.382926940918,2.2209651,0.001,75,0.29
791.7157082557678,2.2402086,0.001,76,0.27
799.7812809944153,2.250089,0.001,77,0.15
811.2427189350128,2.324723,0.001,78,0.15
819.8231434822083,2.373291,0.001,79,0.15
828.5274708271027,2.2864938,0.001,80,0.08
839.8837783336639,2.2678764,0.001,81,0.16
848.4295480251312,2.2520387,0.001,82,0.19
878.7542190551758,2.2711782,0.001,83,0.23
891.1815898418427,2.2630048,0.001,84,0.17
899.0524792671204,2.2398071,0.001,85,0.12
910.1644911766052,2.3880148,0.001,86,0.14
921.233341217041,2.23952,0.001,87,0.25
932.0548751354218,2.2266614,0.001,88,0.13
942.8194167613983,2.3249087,0.001,89,0.16
950.9523160457611,2.3065114,0.001,90,0.11
957.6433229446411,2.2780194,0.001,91,0.1
968.5430624485016,2.2701142,0.001,92,0.14
979.5477693080902,2.2455804,0.001,93,0.11
990.3702356815338,2.2715516,0.001,94,0.17
997.84193110466,2.35074,0.001,95,0.15
1008.594603061676,2.2541087,0.001,96,0.16
1016.7338378429413,2.2700002,0.001,97,0.1
1027.8152441978455,2.2986047,0.001,98,0.09
1039.7188425064087,2.301734,0.001,99,0.23
1050.1283807754517,2.2025611,0.001,100,0.14
1058.3660032749176,2.3343084,0.001,101,0.19
1069.902349948883,2.3224766,0.001,102,0.12
1080.5256655216217,2.310679,0.001,103,0.1
1091.2891149520874,2.2918177,0.001,104,0.12
1101.750734090805,2.2823021,0.001,105,0.12
1112.6443071365356,2.262563,0.001,106,0.15
1123.44859457016,2.2801104,0.001,107,0.14
1131.555537223816,2.249002,0.001,108,0.12
1142.4847400188446,2.2812996,0.001,109,0.13
1153.125977754593,2.477684,0.001,110,0.08
1164.409502506256,2.2925603,0.001,111,0.15
1172.4807436466217,2.2784984,0.001,112,0.15
1183.2116148471832,2.259999,0.001,113,0.16
1192.0447571277618,2.2563624,0.001,114,0.15
1202.5466973781586,2.2778726,0.001,115,0.11
1213.2386112213135,2.2367578,0.001,116,0.26
1224.7393894195557,2.2336073,0.001,117,0.16
1233.0109720230103,2.31323,0.001,118,0.14
1243.9010653495789,2.3125734,0.001,119,0.15
1251.6624341011047,2.291089,0.001,120,0.13
1263.6462290287018,2.2553644,0.001,121,0.21
1274.6095304489136,2.174604,0.001,122,0.23
1283.3680720329285,2.1880262,0.001,123,0.13
1302.1627566814423,2.1798353,0.001,124,0.15
1312.9795517921448,2.307048,0.001,125,0.1
1324.046350479126,2.3010907,0.001,126,0.16
1331.59699344635,2.2231755,0.001,127,0.16
1342.8189351558685,2.2855146,0.001,128,0.1
1350.419897556305,2.3285878,0.001,129,0.09
1358.7900087833405,2.3024786,0.001,130,0.18
1370.057720899582,2.2515788,0.001,131,0.1
1378.9922211170197,2.3294313,0.001,132,0.14
1386.9438877105713,2.3178434,0.001,133,0.19
1395.0754928588867,2.2687433,0.001,134,0.13
1405.639944076538,2.2487388,0.001,135,0.19
1416.2648949623108,2.2403727,0.001,136,0.14
1424.2652513980865,2.3120337,0.001,137,0.14
1432.9764301776886,2.4490986,0.001,138,0.11
1443.7575912475586,2.2910814,0.001,139,0.19
1454.495243549347,2.2502418,0.001,140,0.2
1466.2108504772186,2.2189627,0.001,141,0.21
1476.7253229618073,2.2371995,0.001,142,0.13
1488.1217110157013,2.217062,0.001,143,0.19
1494.9832544326782,2.2963529,0.001,144,0.11
1506.7944996356964,2.2616134,0.001,145,0.24
1517.7678141593933,2.1626875,0.001,146,0.15
1525.9389300346375,2.133939,0.001,147,0.16
1536.637904882431,2.5007472,0.001,148,0.15
1544.4833343029022,2.2210424,0.001,149,0.17
1555.6160790920258,2.3052077,0.001,150,0.15
1563.9099192619324,2.270465,0.001,151,0.16
1575.661866426468,2.242947,0.001,152,0.08
1584.6297175884247,2.270264,0.001,153,0.09
1593.122447013855,2.3041978,0.001,154,0.05
1605.223239660263,2.28456,0.001,155,0.19
1616.7624402046204,2.2431843,0.001,156,0.18
1624.9302566051483,2.1552665,0.001,157,0.12
1632.9557173252106,2.322893,0.001,158,0.13
1643.9009346961975,2.1694853,0.001,159,0.19
1654.8661341667175,2.1931534,0.001,160,0.16
1666.0169146060944,2.300366,0.001,161,0.2
1672.7830340862274,2.3208144,0.001,162,0.23
1684.0485560894012,2.2402196,0.001,163,0.24
1692.1975450515747,2.1769443,0.001,164,0.16
1709.9030108451843,2.112866,0.001,165,0.19
1720.827139377594,2.1712267,0.001,166,0.14
1731.394690990448,2.4475243,0.001,167,0.16
1742.960380077362,2.1888514,0.001,168,0.16
1751.972186088562,2.1439683,0.001,169,0.16
1760.571409702301,2.2714753,0.001,170,0.23
1768.82909822464,2.2100034,0.001,171,0.19
1775.5428595542908,2.1223698,0.001,172,0.23
1786.6070728302002,2.1889033,0.001,173,0.15
1797.580298423767,2.238543,0.001,174,0.19
1808.408346414566,2.0390236,0.001,175,0.19
1819.28493642807,2.0595345,0.001,176,0.2
1830.2236409187317,2.02337,0.001,177,0.24
1838.0922992229462,2.023394,0.001,178,0.17
1848.6763393878937,2.3069434,0.001,179,0.13
1859.8139533996582,2.620082,0.001,180,0.2
1870.5914759635925,2.2641008,0.001,181,0.24
1878.863285779953,2.2193773,0.001,182,0.16
1887.135046005249,2.1752238,0.001,183,0.11
1897.955840587616,4.0091963,0.001,184,0.14
1908.86714553833,2.299896,0.001,185,0.12
1916.5204372406006,2.3068025,0.001,186,0.13
1927.3155553340912,2.2701705,0.001,187,0.13
1939.295062303543,2.2774246,0.001,188,0.09
1947.589702129364,2.2498658,0.001,189,0.21
1957.7868385314941,2.2057772,0.001,190,0.15
1965.8605513572693,2.1058106,0.001,191,0.22
1973.4198606014252,2.1958635,0.001,192,0.21
1981.4100532531738,2.1919348,0.001,193,0.22
1990.0511221885681,2.2189958,0.001,194,0.25
1998.9653985500336,2.12567,0.001,195,0.22
2010.1070761680603,2.0897613,0.001,196,0.19
2021.0347249507904,1.97935,0.001,197,0.22
2032.1606602668762,2.0640254,0.001,198,0.26
2040.1542098522186,2.153852,0.001,199,0.19
2050.676504135132,2.436206,0.001,200,0.13
2061.7071890830994,2.234314,0.001,201,0.25
2072.477476119995,2.1278818,0.001,202,0.25
2083.9547827243805,2.0637085,0.001,203,0.23
2095.986480474472,1.9603791,0.001,204,0.27
2103.963244199753,1.8995212,0.001,205,0.31
2115.1168591976166,1.9273064,0.001,206,0.16
2126.163172483444,2.3372147,0.001,207,0.28
2136.976278066635,2.1326804,0.001,208,0.18
2145.9807255268097,2.1588395,0.001,209,0.21
2154.4553923606873,2.0675786,0.001,210,0.16
2165.7441544532776,2.0096035,0.001,211,0.3
2177.2303097248077,1.9747663,0.001,212,0.28
2188.1096045970917,1.8689691,0.001,213,0.29
2198.8697414398193,1.8468012,0.001,214,0.25
2209.6612861156464,1.9846772,0.001,215,0.22
2216.365483045578,1.9504586,0.001,216,0.19
2227.236757993698,1.9581093,0.001,217,0.3
2237.93780875206,2.0236392,0.001,218,0.25
2248.8982298374176,1.9927311,0.001,219,0.3
2258.183429956436,1.9164284,0.001,220,0.28
2269.629502058029,1.9824001,0.001,221,0.32
2280.746589422226,1.9666488,0.001,222,0.23
2288.742851495743,1.7931341,0.001,223,0.28
2296.639369726181,1.8335087,0.001,224,0.28
2307.357795715332,1.956523,0.001,225,0.3
2316.0102038383484,2.02704,0.001,226,0.17
2323.9846045970917,2.1466713,0.001,227,0.18
2331.9501016139984,2.3003461,0.001,228,0.28
2342.533124446869,2.0427468,0.001,229,0.31
2353.796954870224,1.9446155,0.001,230,0.26
2361.777282476425,1.9064833,0.001,231,0.31
2373.686697244644,1.8551518,0.001,232,0.29
2384.895434856415,1.9180062,0.001,233,0.24
2393.315702199936,1.9229275,0.001,234,0.3
2404.4256834983826,2.0080557,0.001,235,0.28
2412.193069934845,1.9697951,0.001,236,0.39
2421.535220861435,1.8373086,0.001,237,0.3
2433.6465725898743,1.7810878,0.001,238,0.28
2444.3325707912445,1.6832099,0.001,239,0.22
2452.8350615501404,1.84109,0.001,240,0.19
2464.0275678634644,1.8450127,0.001,241,0.28
2472.3471965789795,1.7855586,0.001,242,0.27
2483.2053282260895,1.825464,0.001,243,0.29
2493.5502791404724,2.0695097,0.001,244,0.22
2501.6212186813354,1.9691195,0.001,245,0.21
2512.902372121811,1.9413435,0.001,246,0.27
2524.112144947052,1.7977898,0.001,247,0.33
2531.8414413928986,1.7439485,0.001,248,0.32
2543.5990273952484,1.8224198,0.001,249,0.32
2554.561147928238,1.8101984,0.001,250,0.29
2562.4068875312805,1.8652766,0.001,251,0.38
2574.0485665798187,1.76415,0.001,252,0.37
2585.5745866298676,1.7276859,0.001,253,0.31
2593.5139281749725,1.7224773,0.001,254,0.29
2602.1552209854126,2.0559947,0.001,255,0.3
2612.9936306476593,2.0363503,0.001,256,0.31
2623.851358652115,1.9691637,0.001,257,0.31
2635.2644543647766,1.8329501,0.001,258,0.39
2643.894029855728,1.627798,0.001,259,0.39
2652.08314037323,1.7032375,0.001,260,0.29
2662.809913635254,1.8532499,0.001,261,0.23
2673.396669626236,1.7551758,0.001,262,0.3
2681.387392759323,1.730622,0.001,263,0.33
2692.3115379810333,1.7129297,0.001,264,0.35
2703.4371490478516,1.5646067,0.001,265,0.38
2713.8466861248016,1.5108935,0.001,266,0.34
2721.742854118347,1.7088059,0.001,267,0.38
2729.7116391658783,1.6788276,0.001,268,0.34
2737.4210963249207,1.4953959,0.001,269,0.42
2747.894490003586,1.5514235,0.001,270,0.32
2754.645251274109,1.8867506,0.001,271,0.22
2762.4614839553833,1.8142781,0.001,272,0.25
2770.609965801239,2.1611607,0.001,273,0.21
2781.5449500083923,2.426979,0.001,274,0.26
2792.9141223430634,2.0599914,0.001,275,0.26
2803.7344217300415,1.9606866,0.001,276,0.38
2814.467759847641,1.7748626,0.001,277,0.42
2825.9881250858307,1.7020029,0.001,278,0.44
2837.6794633865356,1.62865,0.001,279,0.41
2845.7879416942596,1.520746,0.001,280,0.39
2857.120418548584,1.7154607,0.001,281,0.39
2865.01203417778,1.7574095,0.001,282,0.37
2875.6391971111298,1.532356,0.001,283,0.45
2886.5354056358337,1.574789,0.001,284,0.49
2895.078842163086,1.5310906,0.001,285,0.45
2905.9344487190247,1.5806905,0.001,286,0.37
2916.4224638938904,1.6563892,0.001,287,0.34
2924.9403660297394,1.6770803,0.001,288,0.29
2935.6280076503754,1.6734164,0.001,289,0.44
2943.4175045490265,1.785824,0.001,290,0.45
2951.9937925338745,1.5914624,0.001,291,0.4
2962.832220554352,1.5839703,0.001,292,0.37
2971.7728214263916,1.5731163,0.001,293,0.36
2982.841581583023,1.6745394,0.001,294,0.42
2991.593295097351,1.5463517,0.001,295,0.39
2998.6297273635864,1.5768536,0.001,296,0.42
3009.833996295929,1.4958127,0.001,297,0.44
3020.5037949085236,1.5847158,0.001,298,0.49
3031.476461172104,1.4927323,0.001,299,0.42
3042.264331817627,1.4445472,0.001,300,0.42
3050.186402320862,1.4886242,0.001,301,0.46
3060.907646179199,1.2981595,0.001,302,0.46
3072.1872017383575,1.4447026,0.001,303,0.37
3083.5107686519623,1.6883838,0.001,304,0.39
3094.117199420929,1.7604175,0.001,305,0.34
3104.8257806301117,1.688786,0.001,306,0.29
3116.56001162529,1.6629825,0.001,307,0.45
3125.276008605957,1.8156095,0.001,308,0.42
3133.7425384521484,1.6402488,0.001,309,0.42
3144.9264998435974,1.6106973,0.001,310,0.5
3156.5170555114746,1.4174502,0.001,311,0.48
3166.9124743938446,1.5111126,0.001,312,0.49
3175.1788959503174,1.4494456,0.001,313,0.39
3186.363062143326,1.5855265,0.001,314,0.38
3194.4050023555756,1.65235,0.001,315,0.45
3205.661559343338,1.6225893,0.001,316,0.48
3216.714672088623,1.4108827,0.001,317,0.5
3227.5906145572662,1.6185024,0.001,318,0.45
3238.102640390396,1.5714813,0.001,319,0.51
3249.625148296356,1.393611,0.001,320,0.46
3260.2249295711517,1.3791353,0.001,321,0.56
3268.677362680435,1.3637263,0.001,322,0.42
3276.756278038025,1.5796272,0.001,323,0.4
3287.7099153995514,1.5789812,0.001,324,0.52
3295.6304104328156,1.4949603,0.001,325,0.44
3306.3525390625,1.463909,0.001,326,0.51
3317.901168346405,1.6010022,0.001,327,0.47
3329.1498765945435,1.4214209,0.001,328,0.5
3340.4189829826355,1.471518,0.001,329,0.52
3348.410268306732,1.3253258,0.001,330,0.43
3359.697117328644,1.5490888,0.001,331,0.46
3368.179938316345,1.5570834,0.001,332,0.53
3379.4317128658295,1.3250284,0.001,333,0.51
3388.0789473056793,1.4744581,0.001,334,0.42
3396.9138021469116,1.5627156,0.001,335,0.53
3409.1041960716248,1.4332513,0.001,336,0.47
3419.699903011322,1.4011322,0.001,337,0.57
3430.566517353058,1.4116668,0.001,338,0.47
3441.348072052002,1.5386021,0.001,339,0.51
3448.789231300354,1.3518941,0.001,340,0.54
3456.9965229034424,1.437713,0.001,341,0.46
3467.746277809143,1.3462212,0.001,342,0.52
3479.326724767685,1.3866187,0.001,343,0.43
3491.6066296100616,1.6566145,0.001,344,0.37
3502.494641304016,1.6384953,0.001,345,0.44
3510.7812626361847,1.5395255,0.001,346,0.42
3519.6726541519165,1.5261465,0.001,347,0.43
3531.332914352417,1.4654392,0.001,348,0.48
3538.999899148941,1.3859667,0.001,349,0.54
3550.058555841446,1.2422249,0.001,350,0.53
3560.9425573349,1.2413113,0.001,351,0.54
3571.780748605728,1.3378134,0.001,352,0.57
3579.9277625083923,1.2903446,0.001,353,0.45
3591.876537322998,1.4005806,0.001,354,0.46
3602.4358649253845,1.4283879,0.001,355,0.44
3610.6136071681976,1.4474287,0.001,356,0.49
3621.6278762817383,1.3589042,0.001,357,0.54
3632.6453115940094,1.117776,0.001,358,0.54
3640.444107532501,1.4353485,0.001,359,0.55
3651.520620584488,1.2451018,0.001,360,0.53
3659.3381140232086,1.267333,0.001,361,0.49
3670.566875934601,1.4232807,0.001,362,0.33
3682.93687748909,1.5847597,0.001,363,0.41
3691.0617909431458,1.501239,0.001,364,0.47
3698.8598001003265,1.4449508,0.001,365,0.51
3709.7064621448517,1.4526473,0.001,366,0.54
3720.5848326683044,1.1259784,0.001,367,0.5
3731.5202074050903,1.1720513,0.001,368,0.5
3740.0866136550903,1.1833283,0.001,369,0.5
3749.221284866333,1.216387,0.001,370,0.49
3760.494218826294,1.4236301,0.001,371,0.57
3771.354480266571,1.3318374,0.001,372,0.47
3782.256484270096,1.1047182,0.001,373,0.62
3793.734605550766,1.1643722,0.001,374,0.51
3802.0511503219604,1.2205101,0.001,375,0.54
3812.855817079544,1.166222,0.001,376,0.56
3823.783678293228,1.2048029,0.001,377,0.53
3831.8168251514435,1.1767313,0.001,378,0.54
3842.6396148204803,1.1076876,0.001,379,0.51
3853.736362695694,1.094784,0.001,380,0.57
3860.9911749362946,1.1776689,0.001,381,0.43
3872.0447895526886,1.3094656,0.001,382,0.48
3883.096009492874,1.4496752,0.001,383,0.52
3894.218339204788,1.0954418,0.001,384,0.54
3900.942048549652,1.3969133,0.001,385,0.5
3907.60546541214,1.2325176,0.001,386,0.53
3914.620523452759,1.329803,0.001,387,0.5
3922.8858473300934,1.5462205,0.001,388,0.47
3931.2277369499207,1.3263192,0.001,389,0.49
3943.1066665649414,1.233218,0.001,390,0.48
3954.028822660446,1.2345104,0.001,391,0.53
3961.6097791194916,1.3424586,0.001,392,0.54
3972.9224305152893,1.2129077,0.001,393,0.51
3980.7387239933014,1.3467902,0.001,394,0.53
3989.536485671997,1.1553733,0.001,395,0.51
3999.6980946063995,1.2124995,0.001,396,0.55
4010.696157693863,1.0687457,0.001,397,0.6
4022.0525753498077,1.2337133,0.001,398,0.51
4030.2637391090393,1.2891942,0.001,399,0.53
4041.683099269867,1.2924507,0.001,400,0.49
4049.6410055160522,1.1705451,0.001,401,0.58
4060.510358572006,1.2757617,0.001,402,0.51
4068.2211656570435,1.3252714,0.001,403,0.54
4079.9055483341217,1.1181154,0.001,404,0.56
4087.3235964775085,1.0782007,0.001,405,0.56
4095.4100008010864,1.0293633,0.001,406,0.6
4107.783570051193,1.183285,0.001,407,0.56
4118.550339221954,1.1144117,0.001,408,0.56
4126.728092670441,1.0677047,0.001,409,0.54
4138.5520033836365,1.0960792,0.001,410,0.62
4147.766360998154,1.0153791,0.001,411,0.51
4159.040852308273,1.0434088,0.001,412,0.53
4170.670600652695,1.1774119,0.001,413,0.53
4181.903325080872,1.1084588,0.001,414,0.49
4189.675746202469,1.3851256,0.001,415,0.42
4201.073040723801,1.3103039,0.001,416,0.51
4207.774170160294,1.2424811,0.001,417,0.51
4215.731405258179,1.2061654,0.001,418,0.46
4226.627377748489,1.2025099,0.001,419,0.55
4234.476601362228,1.1209631,0.001,420,0.63
4245.463442325592,0.9155511,0.001,421,0.58
4256.882689476013,0.9226668,0.001,422,0.64
4268.760446071625,0.923034,0.001,423,0.59
4280.417013883591,0.9359089,0.001,424,0.56
4291.000817060471,0.9795686,0.001,425,0.49
4299.969565629959,1.2621193,0.001,426,0.58
4310.816182136536,0.970073,0.001,427,0.59
4321.899434566498,0.9495837,0.001,428,0.62
4332.513115644455,0.88265985,0.001,429,0.62
4343.811764240265,1.0851434,0.001,430,0.49
4351.789174795151,1.1127146,0.001,431,0.57
4362.44602560997,1.2269391,0.001,432,0.58
4373.610018253326,1.0345783,0.001,433,0.61
4385.079606056213,1.0316372,0.001,434,0.48
4396.200701713562,1.0944903,0.001,435,0.53
4406.801012992859,1.0262156,0.001,436,0.52
4415.774708986282,1.115465,0.001,437,0.54
4427.053004980087,0.94690424,0.001,438,0.56
4438.095862150192,0.78438795,0.001,439,0.59
4446.068390846252,0.88397425,0.001,440,0.59
4457.264837026596,0.912109,0.001,441,0.58
4465.1614191532135,0.98648196,0.001,442,0.63
4472.872681379318,1.0120153,0.001,443,0.56
4483.695515155792,1.1375016,0.001,444,0.51
4491.554678916931,1.1297742,0.001,445,0.55
4502.82954788208,1.2294167,0.001,446,0.49
4513.765566110611,1.157898,0.001,447,0.61
4524.248421669006,1.0916871,0.001,448,0.56
4532.408903360367,1.1282616,0.001,449,0.56
4540.574241161346,1.0169561,0.001,450,0.59
4552.422124385834,0.8099339,0.001,451,0.58
4560.86891078949,0.792892,0.001,452,0.55
4571.843059301376,1.0339067,0.001,453,0.6
4583.6690373420715,1.0529935,0.001,454,0.54
4594.441179275513,1.0704249,0.001,455,0.66
