time,learning_rate,loss,step,accuracy
8.102416753768921,0.001,3.341556,1,0.12
19.083628177642822,0.001,3.1526012,2,0.08
30.017391443252563,0.001,2.9057353,3,0.07
38.30613708496094,0.001,2.785156,4,0.06
49.74364948272705,0.001,2.883027,5,0.06
57.636945962905884,0.001,2.7329094,6,0.09
68.30681133270264,0.001,2.6797197,7,0.09
79.51895666122437,0.001,2.6772535,8,0.08
87.41259169578552,0.001,2.6302178,9,0.09
98.33143711090088,0.001,2.6205382,10,0.08
106.28814029693604,0.001,2.4656644,11,0.08
117.22829246520996,0.001,2.581479,12,0.09
128.27618503570557,0.001,2.4763322,13,0.11
138.4299819469452,0.001,2.486358,14,0.13
149.61195421218872,0.001,2.49908,15,0.13
160.2584149837494,0.001,2.4598181,16,0.13
171.72238898277283,0.001,2.4613466,17,0.14
181.89640474319458,0.001,2.3944204,18,0.14
193.1259729862213,0.001,2.3853166,19,0.14
204.15831780433655,0.001,2.4305584,20,0.14
215.074524641037,0.001,2.3951364,21,0.14
226.58007907867432,0.001,2.339769,22,0.14
237.41193175315857,0.001,2.3847256,23,0.16
246.11936163902283,0.001,2.3560803,24,0.14
256.9627957344055,0.001,2.3285997,25,0.13
268.2624535560608,0.001,2.3649695,26,0.13
278.736385345459,0.001,2.3327024,27,0.14
290.50201439857483,0.001,2.3732014,28,0.11
298.9978506565094,0.001,2.3312216,29,0.13
309.9679639339447,0.001,2.3235683,30,0.14
321.04770016670227,0.001,2.2891226,31,0.12
332.4577248096466,0.001,2.3011222,32,0.13
340.61432433128357,0.001,2.3218203,33,0.15
351.4918086528778,0.001,2.310201,34,0.18
362.7561094760895,0.001,2.3278687,35,0.18
373.84425687789917,0.001,2.293153,36,0.17
384.5393064022064,0.001,2.2757752,37,0.17
395.88469910621643,0.001,2.2895377,38,0.17
403.98855566978455,0.001,2.3105855,39,0.19
415.29929757118225,0.001,2.3181026,40,0.17
426.21997022628784,0.001,2.2835135,41,0.17
458.3807623386383,0.001,2.2805386,42,0.19
469.04574847221375,0.001,2.2894413,43,0.2
479.41754627227783,0.001,2.2946653,44,0.2
490.2141098976135,0.001,2.28831,45,0.22
498.5155429840088,0.001,2.2877624,46,0.19
509.3525056838989,0.001,2.286192,47,0.23
520.449761390686,0.001,2.262262,48,0.19
531.5954267978668,0.001,2.2755272,49,0.2
542.7654619216919,0.001,2.2728176,50,0.17
554.1249048709869,0.00093000004,2.2399082,51,0.19
565.2709755897522,0.00093000004,2.2621858,52,0.21
575.9602925777435,0.00093000004,2.2918856,53,0.19
583.7196691036224,0.00093000004,2.253143,54,0.17
594.4334325790405,0.00093000004,2.2479384,55,0.21
605.6497266292572,0.00093000004,2.2762117,56,0.23
613.8873898983002,0.00093000004,2.2695854,57,0.21
624.6723365783691,0.00093000004,2.2732549,58,0.19
635.4387125968933,0.00093000004,2.2868142,59,0.21
643.5479929447174,0.00093000004,2.2551138,60,0.26
654.5735352039337,0.00093000004,2.2449691,61,0.25
665.2847554683685,0.00093000004,2.2782185,62,0.22
676.5079460144043,0.00093000004,2.262931,63,0.16
684.9134905338287,0.00093000004,2.268997,64,0.23
696.0701332092285,0.00093000004,2.2502291,65,0.27
707.0962088108063,0.00093000004,2.2355695,66,0.16
718.1490361690521,0.00093000004,2.2257376,67,0.15
729.4366281032562,0.00093000004,2.2614675,68,0.11
740.2708249092102,0.00093000004,2.2825027,69,0.22
748.0533556938171,0.00093000004,2.2802405,70,0.21
755.8190467357635,0.00093000004,2.227376,71,0.22
766.9896628856659,0.00093000004,2.2504401,72,0.18
777.8822724819183,0.00093000004,2.2745006,73,0.17
788.3099589347839,0.00093000004,2.3145268,74,0.12
799.3232202529907,0.00093000004,2.2996573,75,0.17
807.8396725654602,0.00093000004,2.2766376,76,0.27
815.777156829834,0.00093000004,2.25823,77,0.19
826.0605642795563,0.00093000004,2.2561076,78,0.26
837.2855615615845,0.00093000004,2.2573175,79,0.17
845.2509529590607,0.00093000004,2.2762854,80,0.12
853.0535609722137,0.00093000004,2.3228326,81,0.12
864.0469806194305,0.00093000004,2.294812,82,0.15
895.6138887405396,0.00093000004,2.254591,83,0.15
906.4179799556732,0.00093000004,2.2518368,84,0.19
917.7852993011475,0.00093000004,2.2660782,85,0.24
926.0126547813416,0.00093000004,2.2293012,86,0.17
937.2818703651428,0.00093000004,2.311071,87,0.11
948.4030277729034,0.00093000004,2.2454545,88,0.24
959.5285165309906,0.00093000004,2.234759,89,0.12
970.5828838348389,0.00093000004,2.3056252,90,0.13
981.6840329170227,0.00093000004,2.432994,91,0.18
989.6127631664276,0.00093000004,2.3081121,92,0.18
1000.3466396331787,0.00093000004,2.2838066,93,0.08
1007.0709464550018,0.00093000004,2.2581797,94,0.14
1015.4990484714508,0.00093000004,2.2630413,95,0.15
1026.9361073970795,0.00093000004,2.2636623,96,0.12
1037.620833158493,0.00093000004,2.3495946,97,0.17
1046.0452134609222,0.00093000004,2.2518451,98,0.14
1053.6185562610626,0.00093000004,2.2626944,99,0.18
1061.5249507427216,0.00093000004,2.2500951,100,0.23
1072.3655078411102,0.0008649,2.2280898,101,0.08
1083.0304682254791,0.0008649,2.3167338,102,0.18
1094.1913394927979,0.0008649,2.283809,103,0.18
1102.2887914180756,0.0008649,2.2448955,104,0.15
1113.6648440361023,0.0008649,2.2175572,105,0.18
1124.1998043060303,0.0008649,2.2634158,106,0.07
1134.9789209365845,0.0008649,2.298641,107,0.21
1146.0315189361572,0.0008649,2.2876496,108,0.24
1156.9147455692291,0.0008649,2.2539878,109,0.24
1164.8482491970062,0.0008649,2.2058976,110,0.21
1175.9528682231903,0.0008649,2.2762835,111,0.12
1187.187106370926,0.0008649,2.3088477,112,0.13
1195.4111816883087,0.0008649,2.255024,113,0.18
1206.9061844348907,0.0008649,2.2182217,114,0.16
1217.9524910449982,0.0008649,2.2514255,115,0.13
1225.8140275478363,0.0008649,2.274306,116,0.17
1234.2922978401184,0.0008649,2.2436564,117,0.19
1245.200011253357,0.0008649,2.2342138,118,0.08
1256.2918117046356,0.0008649,2.3032043,119,0.21
1267.6183795928955,0.0008649,2.2430713,120,0.25
1279.2121622562408,0.0008649,2.186826,121,0.23
1287.615740776062,0.0008649,2.1604514,122,0.17
1295.391753911972,0.0008649,2.4071355,123,0.13
1324.6072249412537,0.0008649,2.5586882,124,0.12
1336.0060403347015,0.0008649,2.3016443,125,0.1
1346.6653020381927,0.0008649,2.2692184,126,0.09
1357.7241840362549,0.0008649,2.2773979,127,0.12
1365.847143650055,0.0008649,2.2934067,128,0.1
1373.2552196979523,0.0008649,2.2719755,129,0.13
1384.9143941402435,0.0008649,2.2355127,130,0.19
1393.2164053916931,0.0008649,2.2522066,131,0.24
1401.6172242164612,0.0008649,2.1844642,132,0.16
1412.9874181747437,0.0008649,2.2275128,133,0.13
1422.868973493576,0.0008649,2.3999019,134,0.14
1434.1442985534668,0.0008649,2.2927556,135,0.16
1445.5069212913513,0.0008649,2.266722,136,0.18
1455.9448602199554,0.0008649,2.2437358,137,0.16
1467.1313371658325,0.0008649,2.2025065,138,0.18
1478.4305822849274,0.0008649,2.225455,139,0.14
1484.9521491527557,0.0008649,2.29907,140,0.2
1495.6253926753998,0.0008649,2.2660894,141,0.14
1507.359896659851,0.0008649,2.2299814,142,0.12
1518.227864265442,0.0008649,2.3167737,143,0.09
1526.1536271572113,0.0008649,2.371417,144,0.21
1536.7372450828552,0.0008649,2.2786024,145,0.17
1547.9166963100433,0.0008649,2.207545,146,0.17
1558.9049770832062,0.0008649,2.1431592,147,0.17
1570.0094120502472,0.0008649,2.1507795,148,0.14
1581.0619122982025,0.0008649,2.3390214,149,0.14
1592.0513951778412,0.0008649,2.4579043,150,0.15
1603.1960315704346,0.0008043571,2.2751334,151,0.21
1613.5634188652039,0.0008043571,2.2676466,152,0.19
1623.9850380420685,0.0008043571,2.2050467,153,0.14
1631.6948266029358,0.0008043571,2.267075,154,0.21
1642.7485630512238,0.0008043571,2.2645829,155,0.24
1654.2453846931458,0.0008043571,2.2212029,156,0.22
1662.4108967781067,0.0008043571,2.1381216,157,0.26
1673.4636986255646,0.0008043571,2.1373992,158,0.23
1684.8298671245575,0.0008043571,2.1048856,159,0.13
1695.1550133228302,0.0008043571,2.3414965,160,0.29
1705.9344320297241,0.0008043571,2.17452,161,0.26
1713.8408257961273,0.0008043571,2.0930173,162,0.22
1721.2402846813202,0.0008043571,2.0321627,163,0.24
1728.8830969333649,0.0008043571,2.141068,164,0.16
1760.9128684997559,0.0008043571,2.0627542,165,0.25
1771.9749641418457,0.0008043571,2.030643,166,0.17
1782.87495470047,0.0008043571,2.3885713,167,0.15
1793.7019939422607,0.0008043571,2.3943844,168,0.23
1804.7072505950928,0.0008043571,2.2640529,169,0.22
1811.8029899597168,0.0008043571,2.155967,170,0.2
1819.5888125896454,0.0008043571,2.0582952,171,0.25
1830.759241104126,0.0008043571,2.0716288,172,0.23
1842.0281808376312,0.0008043571,2.1842844,173,0.17
1852.8651406764984,0.0008043571,2.388759,174,0.13
1863.3579654693604,0.0008043571,2.1900249,175,0.19
1871.0834319591522,0.0008043571,2.1250036,176,0.2
1881.8070137500763,0.0008043571,2.18993,177,0.19
1890.2982430458069,0.0008043571,2.0767589,178,0.27
1898.4798529148102,0.0008043571,2.0661306,179,0.27
1909.7058181762695,0.0008043571,1.9598031,180,0.23
1920.3665182590485,0.0008043571,2.1296551,181,0.18
1932.1331949234009,0.0008043571,2.0716767,182,0.17
1940.2048470973969,0.0008043571,2.1362054,183,0.2
1950.9665484428406,0.0008043571,2.0508885,184,0.28
1962.342783689499,0.0008043571,1.9247242,185,0.26
1972.9815385341644,0.0008043571,2.0282226,186,0.26
1980.9069135189056,0.0008043571,2.1415532,187,0.16
1992.2792994976044,0.0008043571,2.0707214,188,0.26
2003.6923234462738,0.0008043571,2.087402,189,0.28
2014.8890600204468,0.0008043571,1.9610978,190,0.24
2026.2041363716125,0.0008043571,1.9099842,191,0.28
2034.353473186493,0.0008043571,1.9048028,192,0.24
2045.1185393333435,0.0008043571,2.0746574,193,0.2
2056.019929409027,0.0008043571,2.3886817,194,0.18
2067.148449420929,0.0008043571,2.2037911,195,0.25
2075.1635930538177,0.0008043571,2.0021172,196,0.21
2086.383745908737,0.0008043571,1.9212729,197,0.28
2097.3608782291412,0.0008043571,1.9098095,198,0.34
2108.2389039993286,0.0008043571,1.8283701,199,0.26
2119.088721513748,0.0008043571,2.0838032,200,0.23
2127.2289519309998,0.000748052,2.0392315,201,0.27
2138.4557495117188,0.000748052,2.0869758,202,0.27
2149.3681757450104,0.000748052,1.8837758,203,0.23
2160.6317932605743,0.000748052,1.9559739,204,0.22
2171.478129863739,0.000748052,2.0146,205,0.25
2183.15020775795,0.000748052,1.9477828,206,0.31
2191.2741644382477,0.000748052,1.89295,207,0.34
2202.225600004196,0.000748052,1.8318095,208,0.27
2213.109997034073,0.000748052,1.9115963,209,0.31
2221.5129685401917,0.000748052,1.8962494,210,0.23
2232.586041688919,0.000748052,1.9126333,211,0.27
2243.6117689609528,0.000748052,1.8729917,212,0.28
2251.765011548996,0.000748052,1.8591194,213,0.22
2262.361295223236,0.000748052,2.0353806,214,0.28
2273.436347723007,0.000748052,1.7810831,215,0.32
2284.4116683006287,0.000748052,1.762867,216,0.36
2294.9065306186676,0.000748052,1.8516715,217,0.36
2303.0662753582,0.000748052,1.730998,218,0.29
2313.492521762848,0.000748052,1.8807042,219,0.26
2324.4529526233673,0.000748052,1.9168042,220,0.25
2332.4958639144897,0.000748052,1.9923096,221,0.35
2339.908476829529,0.000748052,1.8013381,222,0.29
2350.947131872177,0.000748052,1.9471743,223,0.31
2362.289484977722,0.000748052,1.7530081,224,0.34
2370.483370780945,0.000748052,1.6852067,225,0.43
2381.8994765281677,0.000748052,1.7474941,226,0.32
2393.060380458832,0.000748052,1.8594177,227,0.34
2404.1835312843323,0.000748052,1.8321973,228,0.29
2415.5237267017365,0.000748052,1.8225847,229,0.33
2426.3661603927612,0.000748052,1.7478106,230,0.35
2434.450464248657,0.000748052,1.7635839,231,0.35
2445.0352697372437,0.000748052,1.8959908,232,0.33
2455.9752292633057,0.000748052,1.8895068,233,0.38
2467.3506722450256,0.000748052,1.8273596,234,0.42
2475.2368280887604,0.000748052,1.7786572,235,0.39
2485.6126067638397,0.000748052,1.6193002,236,0.35
2493.613058567047,0.000748052,1.6850833,237,0.42
2501.7551765441895,0.000748052,1.7015439,238,0.41
2512.965916633606,0.000748052,1.5593677,239,0.41
2520.931720018387,0.000748052,1.7934674,240,0.27
2531.8644449710846,0.000748052,1.9839863,241,0.24
2542.5431611537933,0.000748052,1.8870854,242,0.33
2554.3299236297607,0.000748052,1.9817448,243,0.39
2565.639613389969,0.000748052,1.7818794,244,0.4
2577.1470923423767,0.000748052,1.6468557,245,0.39
2588.302181005478,0.000748052,1.5078509,246,0.38
2599.640684366226,0.000748052,1.6562275,247,0.34
2607.5729463100433,0.000748052,1.7152324,248,0.38
2615.5858433246613,0.000748052,1.7424158,249,0.43
2626.5921778678894,0.000748052,1.5720385,250,0.42
2637.255250453949,0.0006956884,1.5190458,251,0.47
2648.324371099472,0.0006956884,1.5122203,252,0.41
2656.399518251419,0.0006956884,1.6656994,253,0.43
2664.648811817169,0.0006956884,1.6068275,254,0.41
2675.8570849895477,0.0006956884,1.722793,255,0.41
2683.9085686206818,0.0006956884,1.509909,256,0.45
2694.8329792022705,0.0006956884,1.5431961,257,0.41
2703.2272560596466,0.0006956884,1.6292558,258,0.37
2714.8588769435883,0.0006956884,1.4979024,259,0.43
2722.8920018672943,0.0006956884,1.660827,260,0.39
2733.697007894516,0.0006956884,1.9232962,261,0.33
2741.6264021396637,0.0006956884,1.7350105,262,0.37
2749.464591741562,0.0006956884,1.6731476,263,0.42
2760.699573993683,0.0006956884,1.646895,264,0.49
2771.0968198776245,0.0006956884,1.5432541,265,0.45
2781.209503889084,0.0006956884,1.526203,266,0.49
2792.751530647278,0.0006956884,1.4956374,267,0.42
2803.854597091675,0.0006956884,1.4518582,268,0.39
2815.121789455414,0.0006956884,1.7954061,269,0.42
2823.314183950424,0.0006956884,1.700669,270,0.42
2834.501142978668,0.0006956884,1.61016,271,0.51
2842.464055776596,0.0006956884,1.3673384,272,0.49
2853.3674206733704,0.0006956884,1.4604698,273,0.5
2861.4625930786133,0.0006956884,1.3973675,274,0.48
2869.550460577011,0.0006956884,1.542886,275,0.41
2880.699338197708,0.0006956884,1.5688144,276,0.41
2889.1994502544403,0.0006956884,1.6036619,277,0.33
2900.4362931251526,0.0006956884,1.7495174,278,0.47
2910.8639521598816,0.0006956884,1.5781759,279,0.47
2921.70454120636,0.0006956884,1.4283745,280,0.43
2929.677776813507,0.0006956884,1.5435019,281,0.38
2941.15576171875,0.0006956884,1.5450504,282,0.51
2952.404967069626,0.0006956884,1.5145661,283,0.51
2963.404374361038,0.0006956884,1.3214867,284,0.52
2974.3182923793793,0.0006956884,1.339607,285,0.51
2984.9525310993195,0.0006956884,1.277575,286,0.43
2993.293065547943,0.0006956884,1.7618799,287,0.47
3004.9529695510864,0.0006956884,1.4314442,288,0.51
3012.9240000247955,0.0006956884,1.292747,289,0.51
3023.8860490322113,0.0006956884,1.4763429,290,0.42
3032.1954724788666,0.0006956884,1.5715374,291,0.44
3043.4500184059143,0.0006956884,1.4131529,292,0.49
3054.712915658951,0.0006956884,1.5175238,293,0.57
3065.6790075302124,0.0006956884,1.4466567,294,0.45
3074.163638114929,0.0006956884,1.3462952,295,0.53
3085.765641927719,0.0006956884,1.5551077,296,0.49
3097.0560595989227,0.0006956884,1.4536384,297,0.45
3107.589457511902,0.0006956884,1.4261858,298,0.45
3118.6181964874268,0.0006956884,1.409817,299,0.53
3129.535348892212,0.0006956884,1.483343,300,0.37
3140.508723974228,0.00064699026,1.5351627,301,0.55
3151.265406370163,0.00064699026,1.31637,302,0.57
3159.559282541275,0.00064699026,1.2135997,303,0.53
3170.5471642017365,0.00064699026,1.2758807,304,0.52
3178.4102218151093,0.00064699026,1.3523176,305,0.41
3189.2937755584717,0.00064699026,1.463312,306,0.45
3200.176008939743,0.00064699026,1.6834774,307,0.48
3210.7491886615753,0.00064699026,1.4395908,308,0.5
3221.495883703232,0.00064699026,1.3526068,309,0.56
3229.8410217761993,0.00064699026,1.3072021,310,0.58
3240.322290420532,0.00064699026,1.1912087,311,0.53
3248.4711492061615,0.00064699026,1.2794737,312,0.55
3259.110431909561,0.00064699026,1.3929435,313,0.42
3267.2976315021515,0.00064699026,1.3755137,314,0.52
3278.315274000168,0.00064699026,1.3834996,315,0.59
3289.408807516098,0.00064699026,1.4915632,316,0.52
3297.4039528369904,0.00064699026,1.3547473,317,0.56
3305.2423045635223,0.00064699026,1.3462281,318,0.58
3316.173240661621,0.00064699026,1.3370901,319,0.52
3326.7874286174774,0.00064699026,1.2954373,320,0.53
3337.6188321113586,0.00064699026,1.2899771,321,0.57
3348.4890966415405,0.00064699026,1.1608171,322,0.58
3356.3412890434265,0.00064699026,1.3639266,323,0.51
3367.1940388679504,0.00064699026,1.3397008,324,0.49
3378.1083319187164,0.00064699026,1.5303717,325,0.45
3389.122094154358,0.00064699026,1.495948,326,0.54
3397.1691155433655,0.00064699026,1.2303983,327,0.56
3405.4024040699005,0.00064699026,1.2719303,328,0.49
3416.084007501602,0.00064699026,1.4210341,329,0.47
3427.32208943367,0.00064699026,1.3393502,330,0.54
3435.764753103256,0.00064699026,1.2490501,331,0.53
3443.671754360199,0.00064699026,1.2540233,332,0.48
3454.2812480926514,0.00064699026,1.4998752,333,0.45
3464.9307630062103,0.00064699026,1.5431635,334,0.51
3472.660711288452,0.00064699026,1.3176045,335,0.51
3483.62250828743,0.00064699026,1.3575646,336,0.58
3494.79106593132,0.00064699026,1.2206017,337,0.57
3502.9299483299255,0.00064699026,1.0895139,338,0.59
3509.4201254844666,0.00064699026,1.2379774,339,0.51
3520.138646841049,0.00064699026,1.2693336,340,0.5
3531.2575073242188,0.00064699026,1.2552732,341,0.61
3539.3896679878235,0.00064699026,1.247255,342,0.59
3550.397979736328,0.00064699026,1.1813781,343,0.62
3561.0605471134186,0.00064699026,1.1421387,344,0.56
3569.1669068336487,0.00064699026,1.2463422,345,0.59
3579.947352170944,0.00064699026,1.2234657,346,0.49
3588.527502298355,0.00064699026,1.2197562,347,0.61
3599.340679883957,0.00064699026,1.17087,348,0.57
3610.0969953536987,0.00064699026,1.0988159,349,0.59
3620.6184120178223,0.00064699026,1.128368,350,0.57
3628.9837260246277,0.0006017009,1.244322,351,0.59
3640.1482741832733,0.0006017009,1.127604,352,0.56
3648.5372207164764,0.0006017009,1.4955288,353,0.56
3659.459460735321,0.0006017009,1.5623535,354,0.48
3670.812122106552,0.0006017009,1.4690993,355,0.45
3681.520753145218,0.0006017009,1.3723786,356,0.56
3692.631303548813,0.0006017009,1.2304229,357,0.54
3703.667505979538,0.0006017009,1.2091855,358,0.61
3714.5560853481293,0.0006017009,1.2109684,359,0.58
3722.6825778484344,0.0006017009,1.1077563,360,0.59
3733.6737155914307,0.0006017009,1.1518745,361,0.59
3744.762070417404,0.0006017009,1.0464061,362,0.56
3753.1682209968567,0.0006017009,1.0427042,363,0.57
3764.3006777763367,0.0006017009,1.1122708,364,0.63
3775.795801639557,0.0006017009,1.1708663,365,0.58
3787.139727830887,0.0006017009,1.0201716,366,0.58
3795.4676945209503,0.0006017009,1.2607601,367,0.52
3806.0394587516785,0.0006017009,1.0691783,368,0.51
3817.266532897949,0.0006017009,1.1883802,369,0.53
3828.7716686725616,0.0006017009,1.0043156,370,0.59
3839.91925239563,0.0006017009,1.143265,371,0.55
3847.9615042209625,0.0006017009,1.0716188,372,0.57
3858.857507944107,0.0006017009,1.069811,373,0.58
3869.979596376419,0.0006017009,1.3481712,374,0.58
3876.367304086685,0.0006017009,1.103039,375,0.63
3884.2803485393524,0.0006017009,1.1330116,376,0.6
3895.6068646907806,0.0006017009,0.92804813,377,0.57
3906.833019018173,0.0006017009,1.0022863,378,0.56
3917.713399171829,0.0006017009,0.98638636,379,0.62
3928.839879512787,0.0006017009,1.1507118,380,0.55
3939.2428855895996,0.0006017009,1.1697025,381,0.51
3949.4280302524567,0.0006017009,1.2444623,382,0.58
3960.3865909576416,0.0006017009,1.2121063,383,0.55
3970.8252832889557,0.0006017009,1.1179274,384,0.53
3978.890937566757,0.0006017009,1.137991,385,0.54
3990.099264860153,0.0006017009,1.2328461,386,0.56
4000.810157060623,0.0006017009,1.2174723,387,0.56
4009.3414816856384,0.0006017009,1.0976255,388,0.62
4019.950304031372,0.0006017009,0.98499215,389,0.58
4031.09933924675,0.0006017009,1.039298,390,0.68
4041.940737724304,0.0006017009,0.887933,391,0.54
4050.0956461429596,0.0006017009,1.0527273,392,0.66
4060.557436466217,0.0006017009,1.1609958,393,0.56
4071.506227493286,0.0006017009,1.060252,394,0.66
4082.6559298038483,0.0006017009,1.0390571,395,0.58
4090.909031152725,0.0006017009,0.98058325,396,0.65
4101.886107206345,0.0006017009,0.94876355,397,0.59
4110.052793264389,0.0006017009,1.0374558,398,0.64
4120.863749504089,0.0006017009,1.0702642,399,0.59
4131.985914230347,0.0006017009,0.99660754,400,0.63
4143.2597370147705,0.00055958185,0.9986424,401,0.66
4151.586220502853,0.00055958185,0.96363544,402,0.62
4159.763247489929,0.00055958185,1.031351,403,0.57
4170.352329015732,0.00055958185,1.0695641,404,0.56
4180.772306203842,0.00055958185,1.1793891,405,0.62
4188.272418260574,0.00055958185,0.90168285,406,0.66
4199.589520692825,0.00055958185,0.9440489,407,0.53
4210.340766429901,0.00055958185,1.0763633,408,0.51
4220.981214761734,0.00055958185,1.1020104,409,0.67
4228.942617177963,0.00055958185,0.95566434,410,0.57
4237.293797492981,0.00055958185,0.9630388,411,0.64
4245.671492815018,0.00055958185,0.88387823,412,0.55
4256.246497869492,0.00055958185,1.1133485,413,0.62
4264.247521400452,0.00055958185,1.0301317,414,0.63
4274.914365530014,0.00055958185,0.8827283,415,0.57
4282.542955875397,0.00055958185,0.86460036,416,0.64
4293.647248983383,0.00055958185,0.86698073,417,0.6
4303.688359498978,0.00055958185,0.7397692,418,0.65
4314.813021183014,0.00055958185,0.7592755,419,0.6
4325.563020944595,0.00055958185,0.85306865,420,0.7
4336.443665981293,0.00055958185,0.8020824,421,0.52
4347.921655893326,0.00055958185,1.0559739,422,0.64
4358.496883869171,0.00055958185,0.8931794,423,0.6
4366.476795911789,0.00055958185,0.7915277,424,0.68
4377.722277402878,0.00055958185,1.1220791,425,0.53
4385.945103883743,0.00055958185,1.05183,426,0.59
4393.785892009735,0.00055958185,0.94083554,427,0.6
4404.677238225937,0.00055958185,0.906503,428,0.61
